Population within 1000m radius,id,name,functional_status,type,category,timestamp,lga_name,state_name,geometry_y,Status,geometry
13,417,Kashimri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (999621.0158974035 1285383.99479581),Invalid,POINT (13.578310000024887 11.591351999980303)
16,418,Aulari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (1001295.0630809865 1280115.91362175),Invalid,POINT (13.592839999897306 11.543619999548639)
16276,419,Mafa General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Mafa,Borno,POINT (1001006.51585253 1321857.0215457638),Valid,POINT (13.596440000343362 11.91993000023359)
0,420,Mukhtari Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (1001302.5512083463 1311180.4345978925),Invalid,POINT (13.597533000086003 11.823644999812473)
177,421,Doron Naira Health Post,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kukawa,Borno,POINT (999980.5432496436 1463378.2722865099),Valid,POINT (13.609759000393012 13.195718000071565)
232,422,Goni Kurmi Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1005652.8672512738 1272771.122460153),Valid,POINT (13.63159000022614 11.476780000133997)
167,423,Fadagwe Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1007106.8261494229 1229638.340306497),Valid,POINT (13.638620000002673 11.087769999820011)
601,424,Gabchari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (1008113.2246438623 1288200.8637966737),Valid,POINT (13.656373000065003 11.615500000387724)
15,425,Ngalimari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (1008620.7831013051 1282272.802184853),Invalid,POINT (13.660125999614989 11.561992000031578)
1210,426,Mile 90 Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1006828.274674077 1417362.1237642027),Valid,POINT (13.664984999916442 12.779851999510186)
83,427,Matta Gujjari Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (1011326.5270527159 1309347.827041645),Invalid,POINT (13.688970000213146 11.80562399956807)
23631,428,Bokko Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1012855.2320334462 1228595.8004952888),Valid,POINT (13.690929999544892 11.077559999882794)
3107,429,Ngollam Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (1010891.3314766777 1389752.444121679),Valid,POINT (13.697730000165166 12.530359999992072)
894,430,Maafa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Mafa,Borno,POINT (1011849.4996638106 1342938.6073926978),Valid,POINT (13.698988000019881 12.108294000218107)
947,431,Yale Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1013461.698163143 1298493.9410814536),Valid,POINT (13.70683800035363 11.707475999881067)
1216,432,Alla Lawanti Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1012512.7867615366 1360941.1205231103),Valid,POINT (13.707930000095587 12.270440000388643)
1532,433,Mawalli Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1013928.7511036968 1367847.6337400118),Valid,POINT (13.722019999669044 12.332459999528337)
2853,434,Gumnari Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1014086.4875183301 1400222.3177046299),Valid,POINT (13.728770000255397 12.624199999751964)
583,435,Wala Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1017615.7610438396 1237581.7917302172),Valid,POINT (13.735679999950374 11.157870000449634)
204,436,Army Barracks Clinic,Functional,Secondary,Military and Paramilitary Clinic,2020-07-04T13:49:18,Bama,Borno,POINT (1017168.4105825399 1280912.1750721005),Valid,POINT (13.738049999560703 11.548459999837176)
252,437,Mallam Bayeri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1016900.7848144158 1416400.3327828809),Valid,POINT (13.757309999646964 12.769530000496898)
609,438,Bula Galdaye Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1019095.8727420704 1297897.752835948),Valid,POINT (13.758270000299262 11.701249999650825)
14208,439,Dure Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1023032.6678186248 1244327.8644835115),Valid,POINT (13.786120000222015 11.217880000223603)
304,440,Kimbe Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1023751.5474843108 1240276.1438821533),Valid,POINT (13.79208000027154 11.181260000342034)
717,441,Madayi Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1019564.592768687 1488056.6973413709),Valid,POINT (13.794264999756136 13.41477599991123)
60,442,Doro Duguri Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1020935.1086869342 1472092.942447931),Invalid,POINT (13.804030000390982 13.27069400001426)
543,443,Borsori Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1023528.7375436558 1384138.7843828506),Valid,POINT (13.812710000288632 12.4777200002257)
18389,444,Cocin Mission Clinic,Unknown,Primary,Private Non Profit,2020-07-04T13:49:18,Kukawa,Borno,POINT (1022489.3953249101 1452639.6221837183),Valid,POINT (13.814889999769887 13.09513999973359)
27834,445,Baga Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1023183.2373265371 1452594.0529604265),Valid,POINT (13.821260000097993 13.094610000373452)
3130,446,Badairi Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1027312.5116696899 1390275.2312239297),Valid,POINT (13.848439999565526 12.532390000371377)
2044,447,Gawa Town Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1029138.3862380683 1325013.5610283145),Valid,POINT (13.85440999962185 11.944044999618596)
562,448,Arboko Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1030824.0469267359 1236416.8642537084),Valid,POINT (13.856049999736173 11.145440000004045)
454,449,Ali Sheriffti Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Kukawa,Borno,POINT (1027564.1129346909 1426712.292088443),Valid,POINT (13.856989000374144 12.860657000413367)
3280,450,New Marte Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1029692.5325345343 1358462.324863182),Valid,POINT (13.864939999776482 12.245350000341206)
3301,451,Ashigashiya Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Gwoza,Borno,POINT (1032312.9703293713 1235773.284345627),Valid,POINT (13.869539999901974 11.139419999913741)
4577,452,Ala Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1031132.7644915885 1354329.7807048305),Valid,POINT (13.877450000276436 12.207879999882097)
883,453,Bulonsuwa Maibe Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1031740.0079434704 1324720.3530416493),Valid,POINT (13.878169999765646 11.940989999542863)
3217,454,Kirawe General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Gwoza,Borno,POINT (1035878.8777642993 1242317.8634885806),Valid,POINT (13.903069999684021 11.19785999962096)
1839,455,Kaje Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1034671.7570911169 1348210.6504235477),Valid,POINT (13.908849999611279 12.152170000029743)
9285,456,Kirawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1036660.474382033 1241509.6295728672),Valid,POINT (13.91008000044701 11.19045999959303)
8444,457,Gava Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (1036778.0687845241 1241028.8194307985),Valid,POINT (13.911080000126445 11.18610999963738)
1730,458,Mijigite Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1038629.3626729257 1323397.1267636311),Valid,POINT (13.940993000450929 11.927964999693014)
2,459,Jebra Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1040087.684336224 1263534.800499999),Invalid,POINT (13.944760000010435 11.388390000077154)
1158,460,Kashimeri Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1041102.226268729 1287762.7671522421),Valid,POINT (13.957849999904454 11.60652000028625)
421,461,Darjamal Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1043093.9883732725 1256423.9077418454),Valid,POINT (13.971099999907208 11.323860000232058)
1409,462,Kudiye Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1044032.4105051975 1328433.2626684955),Valid,POINT (13.991258999604323 11.972460999925943)
914,463,Afuye Primary Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1044053.5735579298 1329568.8577683032),Valid,POINT (13.991640999863876 11.982687999874713)
836,464,Durbe Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1045927.1416087598 1300668.7422029388),Valid,POINT (14.004029000280923 11.722026999767822)
80,465,Bogomari Health Center,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1047912.078256704 1275443.3947903356),Invalid,POINT (14.018099999841523 11.494460000146717)
218,466,Jabbari Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Bama,Borno,POINT (1052182.9918373984 1280463.88037457),Valid,POINT (14.05791999989731 11.539010000416342)
1671,467,Mal Maja Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1054867.9593405963 1330155.711783971),Valid,POINT (14.090690000163022 11.986190000254169)
1218,468,Muliye Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1055333.6524426613 1320349.6032335311),Valid,POINT (14.093295999933673 11.897784000186448)
1262,469,Gulumba Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1056314.8194890923 1292780.2165318588),Valid,POINT (14.097679999912373 11.649290000346467)
745,470,Manawaji Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1058053.0810394948 1378491.1741208762),Valid,POINT (14.12821999966286 12.421009999693924)
552,471,Andara Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1071840.0847521638 1258822.2382345095),Valid,POINT (14.2338700004471 11.340919999823539)
1406,472,Muzuguli Dispensary,Unknown,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1073991.6407414442 1343270.8621423887),Valid,POINT (14.267939999596022 12.101050000296137)
3262,473,Wunbi Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1083316.0606674498 1372358.9623687032),Valid,POINT (14.358546000158585 12.361309000129891)
318,474,Sabkura Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1091399.5219484034 1344146.7716926513),Valid,POINT (14.42736999992127 12.105859999564299)
750,475,Tilam Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1091206.2929096771 1365517.077733011),Valid,POINT (14.429530000388866 12.298280000304658)
255,476,Minsherde Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1094425.4345737882 1332293.4144329359),Valid,POINT (14.452890000260876 11.998609999692972)
1087,477,Gwalam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Hawul,Borno,POINT (865683.3424992128 1158938.3693438263),Valid,POINT (12.339761000489032 10.46658599975467)
747,478,Abasori Health Clinic,Unknown,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (899195.4721355066 1320875.543273812),Valid,POINT (12.663769999637907 11.9247769995269)
18614,479,Rann Primary Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1094831.7528380689 1362350.2728023152),Valid,POINT (14.462129999539002 12.269110000485)
32,480,Lawanti Primary Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (988870.6670808098 1284717.7529125107),Invalid,POINT (13.479915000170083 11.586887999947237)
145,481,Dogumba Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (969268.0949349965 1317264.7672211465),Valid,POINT (13.305200000459479 11.88312000022296)
44757,482,Monguno Town Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1001795.9878815168 1405224.9708129386),Valid,POINT (13.616790000170226 12.671269999733795)
1156,483,Bida Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (984732.4244440512 1368978.7863912173),Valid,POINT (13.454519999915362 12.34716999952309)
5507,484,Wuyo Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bayo,Borno,POINT (795203.9757352456 1149096.615611216),Valid,POINT (11.695864999991954 10.383772000486431)
1962,485,Dalahat Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Shani,Borno,POINT (837461.2509082902 1127695.2961259983),Valid,POINT (12.079529999674321 10.187019999802713)
28933,486,Miringa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Biu,Borno,POINT (844102.9345737377 1187828.4486743372),Valid,POINT (12.145544999528397 10.729484000381492)
2828,487,Liya Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Biu,Borno,POINT (870841.2984419576 1184774.0292768972),Valid,POINT (12.389375000199436 10.699341999901435)
816,488,Shettimari Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (872314.5276189304 1276343.421089046),Valid,POINT (12.412429999864232 11.525870000488341)
368,489,Dongo Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (876287.8355826708 1281852.2943861904),Valid,POINT (12.449409999990396 11.575169999985405)
625,490,Harang Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Hawul,Borno,POINT (878871.791683598 1170510.4316534458),Valid,POINT (12.46122600001877 10.569769999863354)
1401,491,Abulam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (879114.4736313012 1239333.8974967138),Valid,POINT (12.470629000407712 11.191043999989802)
433,492,Galangi Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kaga,Borno,POINT (883440.7663503283 1274631.4238751794),Valid,POINT (12.514082999932668 11.509202000163212)
1174,493,Wataku Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (884888.5274284245 1180758.181684441),Valid,POINT (12.517180000036886 10.661670000305094)
527,494,Guwo Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (884950.098327308 1287466.5674281504),Valid,POINT (12.52935000030584 11.624889999767788)
778,495,Karagawaru Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (887274.067604596 1318661.988944602),Valid,POINT (12.554246000221497 11.906199999904684)
339,496,Meleri Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Mobbar,Borno,POINT (887939.2285915588 1458065.1018352776),Valid,POINT (12.577680000143799 13.164289999717763)
312,497,Marguba Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kaga,Borno,POINT (890860.9080908287 1295155.4253529208),Valid,POINT (12.584359999682531 11.69362000046658)
510,498,Bulajimbam Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Damboa,Borno,POINT (894713.9467109656 1240603.5317380112),Valid,POINT (12.613384000403016 11.200811999626694)
1227,499,Layi Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (892294.882200969 1430845.305839704),Valid,POINT (12.614219999971056 12.918080000429597)
1566,500,Koramgilim Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Chibok,Borno,POINT (905926.4640361205 1203537.311898237),Valid,POINT (12.711674000186463 10.86503500048201)
4675,501,Gashigar Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mobbar,Borno,POINT (910786.3097955899 1481233.3801881578),Valid,POINT (12.791310000295367 13.370306999696595)
2415,502,Leho B Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (918301.025260787 1186007.296309297),Valid,POINT (12.82264999958943 10.705460000058334)
0,503,Jewu Primary Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (920246.9356455286 1303675.9065521099),Invalid,POINT (12.854500000230018 11.767007000329615)
1140,504,Gadai Lawanti Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Nganzai,Borno,POINT (929054.9048475518 1374115.099328149),Valid,POINT (12.944465000356956 12.401394000365768)
264,505,Garanda Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (933079.9591674914 1440560.2807115412),Valid,POINT (12.99075999981227 13.00025000026028)
1472,506,Rumirgo Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (942539.0254008794 1173487.9465916434),Valid,POINT (13.042285999821729 10.589723000420463)
4411,507,Jabullam Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Abadam,Borno,POINT (941519.085260242 1497836.4812649118),Valid,POINT (13.077000000408303 13.515650000450366)
290,508,Sabusawa Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Nganzai,Borno,POINT (950047.2354923693 1391325.71300828),Valid,POINT (13.13957999992846 12.553749999884532)
11,509,Tuba Lawanti Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Jere,Borno,POINT (951280.8788669636 1345706.0552785571),Invalid,POINT (13.144416000214276 12.14211600019854)
70658,510,Gambaru Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Maiduguri,Borno,POINT (954302.698342538 1312955.2784803458),Valid,POINT (13.167569999946352 11.846310000212267)
10804,511,Muffa Shidiki Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (960273.0472911791 1158924.90062856),Valid,POINT (13.202196000473068 10.456247999730463)
19040,512,Uba Private Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Askira Uba,Borno,POINT (961146.8901522845 1158932.3512988952),Valid,POINT (13.210159999884239 10.456209999704638)
23,513,Kessangarola Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Nganzai,Borno,POINT (964728.1210689725 1345187.0869489526),Invalid,POINT (13.267599999912022 12.135559999744027)
7678,514,Abadam General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Abadam,Borno,POINT (962419.9282930016 1510107.0119622317),Valid,POINT (13.27160999963661 13.623080000443963)
1670,515,Bdagu Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Askira Uba,Borno,POINT (968221.0802352214 1203247.1607704128),Valid,POINT (13.280210000479938 10.855019999677324)
172,516,Mulgu Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Nganzai,Borno,POINT (968539.6398965847 1377959.0736618717),Valid,POINT (13.307344999916893 12.430541000169795)
1751,517,Koshebe Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (970420.0222781866 1327384.4221012222),Valid,POINT (13.317192999608153 11.974214000117001)
342,518,Kangarwa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (979841.2064097696 1394409.7810431567),Valid,POINT (13.413550000078203 12.577189999810855)
637,519,Mofio Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (980940.9755300155 1364200.762472913),Valid,POINT (13.419027999800221 12.304657999638207)
11,520,Arnari Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Konduga,Borno,POINT (985808.7131474109 1299678.1392007044),Invalid,POINT (13.454067999608299 11.722205999889411)
81,521,Kabulawa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (989742.8828836291 1361992.3544703852),Invalid,POINT (13.499390000402457 12.283430000214766)
571,522,Duguri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (988115.4927789816 1475685.8860161535),Valid,POINT (13.50264999961746 13.308609999776419)
201,523,Yamtake Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gwoza,Borno,POINT (992661.6499694756 1231622.2777325772),Valid,POINT (13.507049999607034 11.107660000334308)
258,524,Wulo Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (991182.1776580606 1386924.1441371934),Valid,POINT (13.516460000000675 12.507969999779162)
1236,525,Yele Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (997179.5805710314 1375390.121876815),Valid,POINT (13.569660000147621 12.403069999504508)
660,526,Mandala Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1000358.1349920698 1388709.0049449322),Valid,POINT (13.6009300003941 12.522629999739936)
897,527,Kulli Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1002369.2984720257 1365725.5700489283),Valid,POINT (13.615720000443218 12.315149999767018)
751,528,Zengebe Dispensry,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (1008753.6023046453 1339719.2239281067),Valid,POINT (13.670128000410898 12.079756999828534)
90,529,Dogoshi Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1007694.8314921565 1426530.3109789626),Invalid,POINT (13.674470000361053 12.86233999955692)
781,530,Ngurno Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Monguno,Borno,POINT (1009701.0885160249 1410414.6737823049),Valid,POINT (13.690210000055686 12.716769999648934)
1794,531,Mintar Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1010434.876783194 1378981.5646492674),Valid,POINT (13.691790000129172 12.433360000085143)
1838,532,Difinowa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1016249.3485644102 1398318.4859209876),Valid,POINT (13.748299999525104 12.606689999854725)
716,533,Dagumba Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Mafa,Borno,POINT (1019225.1087451507 1307773.703381496),Valid,POINT (13.760983000142572 11.790234000111239)
1299,534,Mujigine Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Mafa,Borno,POINT (1019966.3731430841 1342698.0618569336),Valid,POINT (13.773285999501923 12.104854999881466)
5471,535,Marte General Hospital,Functional,Secondary,General Hospital,2020-07-04T13:49:18,Marte,Borno,POINT (1025087.7189528215 1371581.0345208806),Valid,POINT (13.824914999581381 12.364308000167565)
1579,536,Njine Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1026215.0509311898 1365858.5414395272),Valid,POINT (13.834299999958033 12.312560000007238)
349,537,Dam Health Post,Functional,Primary,Dispensary,2020-07-04T13:49:18,Monguno,Borno,POINT (1028056.4320066515 1410623.431832975),Valid,POINT (13.858729999557054 12.715609999860758)
19588,538,Doro Primary Health Care,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kukawa,Borno,POINT (1027456.1247674504 1455097.817124821),Valid,POINT (13.860980000085874 13.1164300001991)
9666,539,Kirenowa Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Marte,Borno,POINT (1037000.9078340208 1378345.5335710025),Valid,POINT (13.935249999548832 12.423290000243071)
3337,540,Bulonguwa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1040686.8093940953 1333609.5342852431),Valid,POINT (13.96150000038449 12.019639999981848)
1909,541,Ngudoram Health Outpost,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1044406.4703379442 1337366.297796623),Valid,POINT (13.996168999940439 12.052875999564149)
2699,542,Amtul Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1044682.1107843163 1333940.6700445914),Valid,POINT (13.998120000266054 12.021969999564988)
1705,543,Ngabure Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1046682.2247817852 1339282.1635747754),Valid,POINT (14.017320000311544 12.06976000003607)
2569,544,Logumani Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1046436.1834103453 1353796.2407072757),Valid,POINT (14.017520000447403 12.20054999990168)
665,545,Gamaye Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Dikwa,Borno,POINT (1047447.1221088356 1347213.3178270787),Valid,POINT (14.025659999978188 12.14108000049464)
1378,546,Massa Model Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Dikwa,Borno,POINT (1050456.415436171 1309039.032996605),Valid,POINT (14.046810000348612 11.796699999504597)
1308,547,Kote Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Bama,Borno,POINT (1051435.910046969 1266543.6323901496),Valid,POINT (14.048859999741467 11.413730000294489)
1489,548,Wulgo Primary Health Center,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1062963.1613194607 1384682.298772108),Valid,POINT (14.174319999985642 12.475909999995903)
10076,549,Wulgo Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Ngala,Borno,POINT (1063419.4107312257 1385454.0586236299),Valid,POINT (14.178639999920902 12.482779999663704)
536,550,Bula Mallumbe Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Ngala,Borno,POINT (1075104.273502836 1371938.7988811212),Valid,POINT (14.283260000005273 12.358999999561034)
1210,551,Jarawa Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1088591.5123024874 1327944.0745859358),Valid,POINT (14.39876000048207 11.96048999979223)
1324,552,Kala Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1095463.5035534876 1341378.657692909),Valid,POINT (14.464039999836757 12.080210000136333)
1929,553,Jilbe Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Kala Balge,Borno,POINT (1114542.9006937519 1323728.8717799445),Valid,POINT (14.635220000145525 11.917879999840748)
600,554,Wamiri Health Clinic,Functional,Primary,Primary Health Center,2020-07-04T13:49:18,Guzamala,Borno,POINT (984238.321918381 1411011.1839048588),Valid,POINT (13.456510000267485 12.72619000004937)
13756,555,Gubio Dispensary,Functional,Primary,Dispensary,2020-07-04T13:49:18,Gubio,Borno,POINT (911539.5509819073 1384978.745571543),Valid,POINT (12.785114000085457 12.501711999527116)
